MD (m RKB),Inc (deg),Azim (deg),TVD (m RKB),X-Offset (m),Y-Offset (m),UTM E/W (m),UTM N/S (m),DLS (deg/30m),WELL_NAME
109,0,0,109,7.02,6.89,437506.858,6477887.468,0,15-9-19-A
122.95,0.07,171.71,122.96,6.99,6.84,437506.828,6477887.418,0.15,15-9-19-A
133,0.08,251.27,132.98,6.99,6.82,437506.828,6477887.398,0.29,15-9-19-A
142.96,0.08,250.91,142.96,7.01,6.81,437506.848,6477887.388,0,15-9-19-A
152.93,0.09,231.59,152.91,7.03,6.79,437506.868,6477887.368,0.09,15-9-19-A
162.98,0.04,245.01,162.96,7.07,6.75,437506.908,6477887.328,0.16,15-9-19-A
173,0.13,210.73,173,7.09,6.7,437506.928,6477887.278,0.3,15-9-19-A
182.94,0.06,189.55,182.92,7.1,6.62,437506.938,6477887.198,0.23,15-9-19-A
192.92,0.18,247.57,192.92,7.08,6.55,437506.918,6477887.128,0.47,15-9-19-A
202.92,0.18,250.22,202.91,7.05,6.52,437506.888,6477887.098,0.02,15-9-19-A
212.94,0.15,237.38,212.93,7.02,6.53,437506.858,6477887.108,0.14,15-9-19-A
222.95,0.21,250.26,222.94,6.98,6.51,437506.818,6477887.088,0.22,15-9-19-A
233,0.21,261.92,232.99,6.94,6.51,437506.778,6477887.088,0.13,15-9-19-A
242.98,0.21,264.03,242.97,6.91,6.5,437506.748,6477887.078,0.02,15-9-19-A
253.01,0.2,255.65,253,6.86,6.48,437506.698,6477887.058,0.09,15-9-19-A
262.92,0.21,256.09,262.88,6.83,6.48,437506.668,6477887.058,0.03,15-9-19-A
272.98,0.24,266.62,272.97,6.77,6.47,437506.608,6477887.048,0.15,15-9-19-A
282.94,0.36,263.24,282.93,6.71,6.46,437506.548,6477887.038,0.37,15-9-19-A
293,0.45,262.97,292.98,6.64,6.47,437506.478,6477887.048,0.27,15-9-19-A
302.94,0.43,263.3,302.94,6.57,6.46,437506.408,6477887.038,0.06,15-9-19-A
313,0.47,258.58,312.98,6.5,6.46,437506.338,6477887.038,0.16,15-9-19-A
323.01,0.49,263.19,323,6.41,6.46,437506.248,6477887.038,0.13,15-9-19-A
332.98,0.43,266.94,332.94,6.33,6.45,437506.168,6477887.028,0.2,15-9-19-A
342.92,0.48,262.95,342.91,6.24,6.44,437506.078,6477887.018,0.18,15-9-19-A
352.96,0.48,259.02,352.94,6.16,6.45,437505.998,6477887.028,0.1,15-9-19-A
363.02,0.5,258.16,363,6.08,6.46,437505.918,6477887.038,0.06,15-9-19-A
372.96,0.45,247.73,372.95,6,6.48,437505.838,6477887.058,0.3,15-9-19-A
383.02,0.52,250.17,383,5.92,6.48,437505.758,6477887.058,0.22,15-9-19-A
392.96,0.47,236.7,392.96,5.84,6.44,437505.678,6477887.018,0.38,15-9-19-A
402.93,0.51,238.35,402.92,5.76,6.41,437505.598,6477886.988,0.13,15-9-19-A
413.04,0.45,241.29,413,5.7,6.38,437505.538,6477886.958,0.19,15-9-19-A
422.93,0.4,232.38,422.92,5.64,6.34,437505.478,6477886.918,0.25,15-9-19-A
432.93,0.42,231.7,432.92,5.57,6.32,437505.408,6477886.898,0.06,15-9-19-A
442.93,0.4,229.31,442.92,5.5,6.29,437505.338,6477886.868,0.08,15-9-19-A
453.02,0.37,222.08,453,5.44,6.25,437505.278,6477886.828,0.17,15-9-19-A
463.02,0.32,220.66,463,5.4,6.17,437505.238,6477886.748,0.15,15-9-19-A
472.94,0.31,222.28,472.93,5.36,6.13,437505.198,6477886.708,0.04,15-9-19-A
482.95,0.31,221.62,482.93,5.31,6.08,437505.148,6477886.658,0.01,15-9-19-A
493.02,0.34,219.71,493,5.26,6.04,437505.098,6477886.618,0.1,15-9-19-A
503.02,0.39,210.7,503.01,5.22,5.99,437505.058,6477886.568,0.23,15-9-19-A
512.93,0.32,225.75,512.91,5.17,5.97,437505.008,6477886.548,0.35,15-9-19-A
523,0.33,212.87,522.97,5.12,5.93,437504.958,6477886.508,0.22,15-9-19-A
533.01,0.39,214.21,533,5.07,5.87,437504.908,6477886.448,0.18,15-9-19-A
542.98,0.3,209.18,542.96,5.03,5.82,437504.868,6477886.398,0.29,15-9-19-A
552.94,0.36,212.08,552.93,5,5.76,437504.838,6477886.338,0.19,15-9-19-A
562.95,0.41,227.68,562.93,4.95,5.71,437504.788,6477886.288,0.35,15-9-19-A
572.91,0.78,266.95,572.89,4.85,5.68,437504.688,6477886.258,1.6,15-9-19-A
583.01,1.55,276.61,583,4.65,5.68,437504.488,6477886.258,2.35,15-9-19-A
593,2.39,281.49,592.98,4.31,5.75,437504.148,6477886.328,2.57,15-9-19-A
602.99,3.16,283.25,602.96,3.83,5.85,437503.669,6477886.428,2.33,15-9-19-A
612.93,4.08,285.37,612.87,3.21,6.01,437503.049,6477886.588,2.81,15-9-19-A
622.95,4.92,286.68,622.88,2.46,6.24,437502.299,6477886.818,2.53,15-9-19-A
632.94,5.82,287.58,632.81,1.58,6.5,437501.419,6477887.078,2.71,15-9-19-A
642.92,6.56,288.27,642.73,0.55,6.84,437500.39,6477887.418,2.24,15-9-19-A
653.04,7.21,288.54,652.74,-0.6,7.22,437499.24,6477887.797,1.93,15-9-19-A
663.02,7.77,288.61,662.67,-1.84,7.65,437498.001,6477888.227,1.68,15-9-19-A
672.94,8.69,288.83,672.48,-3.19,8.08,437496.651,6477888.657,2.78,15-9-19-A
683.01,9.52,288.81,682.43,-4.7,8.61,437495.142,6477889.187,2.47,15-9-19-A
692.96,10.22,289.3,692.25,-6.33,9.19,437493.512,6477889.767,2.13,15-9-19-A
702.95,11.07,289.03,702.05,-8.1,9.79,437491.743,6477890.367,2.56,15-9-19-A
712.96,11.8,289.03,711.86,-9.97,10.42,437489.874,6477890.996,2.19,15-9-19-A
722.92,12.67,288.57,721.59,-11.96,11.12,437487.884,6477891.696,2.64,15-9-19-A
732.95,13.47,287.91,731.37,-14.13,11.82,437485.715,6477892.396,2.43,15-9-19-A
743,14.53,287.45,741.11,-16.47,12.57,437483.376,6477893.146,3.18,15-9-19-A
753.02,15.57,287.42,750.78,-18.98,13.34,437480.867,6477893.915,3.11,15-9-19-A
762.99,16.72,287.36,760.37,-21.62,14.18,437478.228,6477894.755,3.46,15-9-19-A
772.97,17.75,287.8,769.89,-24.45,15.09,437475.399,6477895.665,3.12,15-9-19-A
782.99,18.69,287.97,779.44,-27.45,16.02,437472.4,6477896.594,2.82,15-9-19-A
793.01,19.66,287.74,788.87,-30.57,16.99,437469.281,6477897.564,2.91,15-9-19-A
802.96,20.57,288.04,798.23,-33.85,18.05,437466.002,6477898.624,2.76,15-9-19-A
812.99,21.3,287.97,807.59,-37.21,19.23,437462.643,6477899.803,2.18,15-9-19-A
822.99,22.09,287.69,816.88,-40.72,20.35,437459.134,6477900.923,2.39,15-9-19-A
832.98,22.85,287.66,826.12,-44.39,21.47,437455.466,6477902.042,2.28,15-9-19-A
842.95,23.67,287.39,835.27,-48.19,22.62,437451.667,6477903.192,2.49,15-9-19-A
852.98,24.19,287.08,844.45,-52.08,23.84,437447.778,6477904.412,1.6,15-9-19-A
862.93,24.59,286.91,853.49,-55.96,25.06,437443.9,6477905.631,1.22,15-9-19-A
872.92,25.21,286.81,862.56,-59.96,26.23,437439.901,6477906.801,1.87,15-9-19-A
882.95,25.91,286.59,871.6,-64.14,27.48,437435.723,6477908.05,2.11,15-9-19-A
892.97,26.5,286.41,880.59,-68.38,28.74,437431.484,6477909.31,1.78,15-9-19-A
902.92,27.07,286.03,889.47,-72.67,30.02,437427.196,6477910.589,1.79,15-9-19-A
912.95,27.77,285.79,898.38,-77.1,31.32,437422.767,6477911.889,2.12,15-9-19-A
923,28.41,285.48,907.24,-81.68,32.62,437418.189,6477913.189,1.96,15-9-19-A
932.97,29.15,285.27,915.98,-86.33,33.86,437413.54,6477914.428,2.25,15-9-19-A
942.95,29.83,285.12,924.67,-91.07,35.17,437408.802,6477915.738,2.06,15-9-19-A
952.95,30.36,284.97,933.32,-95.95,36.5,437403.924,6477917.067,1.61,15-9-19-A
962.96,30.97,284.56,941.92,-100.93,37.77,437398.946,6477918.337,1.93,15-9-19-A
972.93,31.52,284.24,950.44,-105.95,39.07,437393.927,6477919.636,1.73,15-9-19-A
982.93,32.23,284.23,958.93,-111.07,40.41,437388.809,6477920.976,2.13,15-9-19-A
992.94,32.92,284.17,967.37,-116.32,41.63,437383.561,6477922.195,2.07,15-9-19-A
1003,34.04,284.01,975.76,-121.71,42.99,437378.173,6477923.555,3.35,15-9-19-A
1012.92,34.89,283.95,983.95,-127.17,44.39,437372.715,6477924.954,2.57,15-9-19-A
1022.92,35.93,283.9,992.1,-132.78,45.69,437367.107,6477926.254,3.12,15-9-19-A
1032.95,36.82,283.81,1000.16,-138.54,47.11,437361.349,6477927.673,2.67,15-9-19-A
1042.98,37.5,283.71,1008.17,-144.42,48.64,437355.471,6477929.203,2.04,15-9-19-A
1052.98,38.22,283.78,1016.06,-150.39,50.06,437349.503,6477930.622,2.16,15-9-19-A
1062.93,39.31,283.74,1023.83,-156.47,51.56,437343.425,6477932.122,3.29,15-9-19-A
1072.93,40.35,283.72,1031.5,-162.7,53.12,437337.197,6477933.681,3.12,15-9-19-A
1082.95,41.42,283.68,1039.07,-169.07,54.66,437330.83,6477935.221,3.2,15-9-19-A
1092.99,42.56,283.68,1046.53,-175.66,56.18,437324.242,6477936.74,3.41,15-9-19-A
1102.98,43.31,283.68,1053.85,-182.25,57.85,437317.654,6477938.41,2.25,15-9-19-A
1112.92,44.1,283.66,1061.04,-188.9,59.37,437311.007,6477939.929,2.38,15-9-19-A
1122.98,45.14,283.68,1068.2,-195.85,60.95,437304.059,6477941.509,3.1,15-9-19-A
1132.92,46.24,283.63,1075.14,-202.73,62.6,437297.181,6477943.158,3.32,15-9-19-A
1142.93,47.3,283.28,1081.99,-209.85,64.36,437290.064,6477944.917,3.27,15-9-19-A
1152.94,48.34,283.07,1088.72,-217.04,66.08,437282.876,6477946.637,3.15,15-9-19-A
1162.94,49.45,282.71,1095.3,-224.34,67.91,437275.579,6477948.466,3.43,15-9-19-A
1172.96,50.48,282.51,1101.74,-231.82,69.44,437268.102,6477949.996,3.12,15-9-19-A
1182.95,51.54,282.35,1108.02,-239.39,71.14,437260.534,6477951.695,3.21,15-9-19-A
1192.97,52.49,282.23,1114.19,-247.1,72.84,437252.827,6477953.394,2.86,15-9-19-A
1202.92,53.47,282.21,1120.19,-254.86,74.49,437245.07,6477955.044,2.96,15-9-19-A
1212.95,54.43,282.13,1126.1,-262.81,76.19,437237.123,6477956.743,2.88,15-9-19-A
1222.96,55.44,282.04,1131.84,-270.8,77.69,437229.135,6477958.243,3.04,15-9-19-A
1232.96,56.26,281.97,1137.47,-278.91,79.55,437221.028,6477960.102,2.47,15-9-19-A
1242.94,57.07,281.89,1142.96,-287.04,81.18,437212.901,6477961.731,2.44,15-9-19-A
1252.95,57.44,281.86,1148.36,-295.23,82.9,437204.714,6477963.451,1.11,15-9-19-A
1262.92,57.71,281.94,1153.71,-303.5,84.58,437196.447,6477965.13,0.84,15-9-19-A
1272.93,58.1,282.02,1159.02,-311.8,86.4,437188.15,6477966.95,1.19,15-9-19-A
1282.92,58.55,282.12,1164.28,-320.1,88.18,437179.853,6477968.729,1.38,15-9-19-A
1292.93,58.89,282.21,1169.47,-328.45,89.98,437171.506,6477970.528,1.04,15-9-19-A
1302.94,59.08,282.25,1174.63,-336.77,91.79,437163.189,6477972.338,0.58,15-9-19-A
1312.93,59.24,282.36,1179.74,-345.15,93.72,437154.812,6477974.267,0.56,15-9-19-A
1322.91,58.95,282.42,1184.89,-353.5,95.49,437146.464,6477976.036,0.89,15-9-19-A
1332.92,58.46,282.41,1190.09,-361.88,97.3,437138.087,6477977.846,1.47,15-9-19-A
1342.91,58.05,282.3,1195.34,-370.14,99.06,437129.83,6477979.605,1.26,15-9-19-A
1352.96,57.74,282.38,1200.68,-378.46,100.88,437121.513,6477981.425,0.95,15-9-19-A
1362.95,57.37,282.5,1206.04,-386.67,102.75,437113.306,6477983.294,1.15,15-9-19-A
1372.94,56.77,282.55,1211.48,-394.84,104.6,437105.139,6477985.143,1.81,15-9-19-A
1382.94,56.41,282.66,1216.98,-403.01,106.28,437096.972,6477986.823,1.11,15-9-19-A
1392.93,55.92,282.79,1222.54,-411.11,108.12,437088.875,6477988.662,1.51,15-9-19-A
1402.91,55.83,282.9,1228.13,-419.21,110.1,437080.778,6477990.641,0.38,15-9-19-A
1412.91,56.29,282.99,1233.74,-427.21,111.8,437072.78,6477992.341,1.4,15-9-19-A
1422.94,57.06,282.99,1239.26,-435.44,113.84,437064.553,6477994.38,2.3,15-9-19-A
1432.95,57.71,283.05,1244.64,-443.59,115.8,437056.406,6477996.339,1.95,15-9-19-A
1442.92,57.8,283.03,1249.96,-451.73,117.68,437048.269,6477998.219,0.28,15-9-19-A
1452.96,58.17,283.07,1255.27,-460.04,119.55,437039.962,6478000.088,1.11,15-9-19-A
1462.95,58.84,283.07,1260.5,-468.38,121.35,437031.625,6478001.887,2.01,15-9-19-A
1472.96,59.11,283.03,1265.65,-476.75,123.39,437023.258,6478003.927,0.82,15-9-19-A
1482.92,58.79,283.17,1270.76,-485,125.4,437015.011,6478005.936,1.03,15-9-19-A
1492.92,58.1,283.47,1276.03,-493.3,127.29,437006.714,6478007.825,2.21,15-9-19-A
1498,58.24,283.82,1278.71,-497.5,128.31,437002.515,6478008.845,1.94,15-9-19-A
1502.93,58.37,284.16,1281.3,-501.56,129.28,436998.457,6478009.815,1.93,15-9-19-A
1512.96,57.92,285.43,1286.58,-509.84,131.41,436990.18,6478011.944,3.5,15-9-19-A
1522.92,58.21,286.17,1291.85,-517.9,133.82,436982.122,6478014.353,2.08,15-9-19-A
1532.93,58.54,286.91,1297.1,-526.1,136.26,436973.925,6478016.792,2.13,15-9-19-A
1542.95,58.94,287.86,1302.3,-534.22,138.78,436965.808,6478019.311,2.71,15-9-19-A
1552.94,59.25,289.02,1307.43,-542.41,141.53,436957.621,6478022.06,3.13,15-9-19-A
1562.95,59.51,290.37,1312.52,-550.52,144.37,436949.514,6478024.899,3.57,15-9-19-A
1572.95,59.89,291.64,1317.57,-558.56,147.44,436941.477,6478027.968,3.48,15-9-19-A
1582.92,60.35,292.71,1322.54,-566.55,150.71,436933.49,6478031.237,3.12,15-9-19-A
1592.91,60.53,293.59,1327.46,-574.11,153.98,436925.932,6478034.506,2.36,15-9-19-A
1602.92,60.6,293.59,1332.37,-582.55,157.67,436917.495,6478038.195,0.21,15-9-19-A
1612.92,61.11,296.18,1337.2,-590.33,161.69,436909.718,6478042.213,6.96,15-9-19-A
1622.93,61.24,296.73,1342.01,-598.15,165.59,436901.901,6478046.112,1.5,15-9-19-A
1632.92,61.29,296.86,1346.81,-605.89,169.6,436894.163,6478050.12,0.37,15-9-19-A
1642.94,61.37,296.55,1351.61,-613.81,173.54,436886.246,6478054.059,0.85,15-9-19-A
1652.92,61,295.82,1356.43,-621.62,177.36,436878.439,6478057.878,2.22,15-9-19-A
1662.93,60.08,294.56,1361.35,-629.52,181.1,436870.542,6478061.616,4.29,15-9-19-A
1672.92,59.62,293.7,1366.36,-637.4,184.65,436862.664,6478065.165,2.63,15-9-19-A
1682.92,59.45,292.95,1371.42,-645.27,188.07,436854.797,6478068.584,2.01,15-9-19-A
1692.93,59.31,292.46,1376.52,-653.16,191.34,436846.91,6478071.853,1.33,15-9-19-A
1702.94,59.66,291.72,1381.62,-661.11,194.61,436838.963,6478075.122,2.18,15-9-19-A
1712.92,59.8,290.88,1386.64,-669.1,197.76,436830.976,6478078.27,2.22,15-9-19-A
1722.94,59.87,290.17,1391.68,-677.1,200.82,436822.978,6478081.329,1.85,15-9-19-A
1732.94,59.76,289.48,1396.71,-685.36,203.86,436814.721,6478084.368,1.82,15-9-19-A
1742.94,59.47,288.59,1401.77,-693.44,206.77,436806.644,6478087.277,2.46,15-9-19-A
1752.91,59.4,288.09,1406.84,-701.62,209.62,436798.467,6478090.126,1.31,15-9-19-A
1762.94,59.17,287.16,1411.94,-709.92,212.24,436790.17,6478092.745,2.49,15-9-19-A
1772.95,58.98,286.5,1417.08,-718.19,214.66,436781.903,6478095.165,1.79,15-9-19-A
1782.94,59.09,285.91,1422.22,-726.4,217.07,436773.696,6478097.574,1.55,15-9-19-A
1792.93,59.2,285.06,1427.35,-734.71,219.4,436765.389,6478099.903,2.22,15-9-19-A
1802.94,58.91,284.24,1432.5,-743.05,221.66,436757.052,6478102.162,2.28,15-9-19-A
1812.94,59,283.73,1437.66,-751.4,223.76,436748.705,6478104.261,1.34,15-9-19-A
1822.94,58.85,282.97,1442.81,-759.84,225.57,436740.268,6478106.071,2,15-9-19-A
1832.93,58.73,282.37,1447.98,-767.91,227.4,436732.2,6478107.9,1.58,15-9-19-A
1842.96,58.67,282.14,1453.2,-776.58,229.28,436723.533,6478109.779,0.61,15-9-19-A
1852.93,58.72,281.99,1458.37,-784.94,231.11,436715.176,6478111.609,0.41,15-9-19-A
1862.93,58.7,281.93,1463.57,-793.23,232.85,436706.889,6478113.348,0.17,15-9-19-A
1872.92,58.68,282.03,1468.75,-801.66,234.57,436698.462,6478115.068,0.26,15-9-19-A
1882.95,58.74,281.88,1473.97,-809.96,236.37,436690.165,6478116.867,0.42,15-9-19-A
1892.95,58.64,281.83,1479.17,-818.37,238.15,436681.758,6478118.646,0.33,15-9-19-A
1902.91,58.54,281.81,1484.35,-826.8,239.85,436673.331,6478120.346,0.31,15-9-19-A
1912.95,58.68,281.78,1489.59,-835.11,241.62,436665.024,6478122.115,0.43,15-9-19-A
1922.93,58.88,281.68,1494.73,-843.56,243.35,436656.577,6478123.844,0.65,15-9-19-A
1932.91,58.84,281.59,1499.92,-851.88,245.06,436648.26,6478125.554,0.26,15-9-19-A
1942.92,58.75,281.62,1505.12,-860.38,246.75,436639.763,6478127.243,0.28,15-9-19-A
1952.95,58.64,281.56,1510.32,-868.73,248.41,436631.416,6478128.903,0.36,15-9-19-A
1962.95,58.67,281.38,1515.52,-876.97,250.15,436623.179,6478130.642,0.47,15-9-19-A
1972.94,58.63,281.37,1520.73,-885.45,251.74,436614.702,6478132.231,0.12,15-9-19-A
1982.93,58.82,281.48,1525.93,-893.81,253.38,436606.345,6478133.871,0.64,15-9-19-A
1992.93,58.75,281.34,1531.13,-902.26,255.17,436597.898,6478135.66,0.42,15-9-19-A
2002.94,58.75,281.38,1536.32,-910.53,256.87,436589.631,6478137.36,0.1,15-9-19-A
2012.91,58.81,282.42,1541.5,-919.02,258.66,436581.144,6478139.149,2.68,15-9-19-A
2022.94,58.81,282.6,1546.69,-926.88,260.4,436573.286,6478140.888,0.46,15-9-19-A
2032.95,58.84,282.63,1551.88,-935.36,262.21,436564.809,6478142.698,0.12,15-9-19-A
2042.93,58.78,282.54,1557.06,-943.93,263.98,436556.242,6478144.467,0.29,15-9-19-A
2052.93,58.73,282.5,1562.24,-952.27,265.95,436547.905,6478146.436,0.18,15-9-19-A
2062.92,58.74,282.41,1567.42,-960.61,267.73,436539.568,6478148.216,0.23,15-9-19-A
2072.91,58.86,282.42,1572.6,-968.86,269.54,436531.321,6478150.025,0.36,15-9-19-A
2082.93,58.78,282.32,1577.78,-977.22,271.41,436522.964,6478151.895,0.35,15-9-19-A
2092.95,58.78,282.26,1582.98,-985.56,273.25,436514.627,6478153.734,0.15,15-9-19-A
2102.94,58.78,282.21,1588.16,-993.89,274.99,436506.3,6478155.473,0.13,15-9-19-A
2112.93,58.79,282.19,1593.33,-1002.19,276.82,436498.003,6478157.303,0.06,15-9-19-A
2122.92,58.92,282.2,1598.5,-1010.64,278.62,436489.556,6478159.102,0.39,15-9-19-A
2132.93,58.9,282.02,1603.67,-1018.93,280.51,436481.269,6478160.991,0.47,15-9-19-A
2142.94,58.94,282.03,1608.85,-1027.18,282.25,436473.022,6478162.731,0.12,15-9-19-A
2152.94,58.88,281.97,1614.02,-1035.7,284.06,436464.505,6478164.54,0.24,15-9-19-A
2162.92,58.92,281.92,1619.17,-1043.95,285.82,436456.258,6478166.299,0.18,15-9-19-A
2172.94,58.91,281.9,1624.33,-1052.28,287.59,436447.931,6478168.069,0.06,15-9-19-A
2182.95,58.99,281.85,1629.49,-1060.66,289.41,436439.554,6478169.888,0.27,15-9-19-A
2192,58.05,283.94,1634.22,-1068.183,291.132,436432.033,6478171.609,6.68,15-9-19-A
2202,57.3,283.83,1639.56,-1076.386,293.16,436423.833,6478173.636,2.27,15-9-19-A
2212,56.5,284.11,1645.02,-1084.515,295.182,436415.706,6478175.658,2.5,15-9-19-A
2222,55.68,284.21,1650.6,-1092.562,297.212,436407.662,6478177.687,2.47,15-9-19-A
2232,54.57,284.14,1656.32,-1100.516,299.221,436399.711,6478179.696,3.33,15-9-19-A
2242,54.3,284.2,1662.14,-1108.403,301.212,436391.827,6478181.686,0.82,15-9-19-A
2252,53.51,284.12,1668.03,-1116.238,303.189,436383.995,6478183.662,2.38,15-9-19-A
2262,52.29,284.24,1674.06,-1123.971,305.143,436376.265,6478185.615,3.67,15-9-19-A
2272,51.76,284.25,1680.21,-1131.611,307.082,436368.627,6478187.554,1.59,15-9-19-A
2282,50.92,284.24,1686.46,-1139.18,309.004,436361.061,6478189.475,2.52,15-9-19-A
2292,49.86,284.1,1692.84,-1146.649,310.89,436353.594,6478191.36,3.2,15-9-19-A
2302,49.58,283.88,1699.3,-1154.052,312.734,436346.194,6478193.204,0.98,15-9-19-A
2312,48.78,284.07,1705.84,-1161.396,314.562,436338.853,6478195.031,2.44,15-9-19-A
2322,47.63,284.82,1712.5,-1168.615,316.421,436331.636,6478196.89,3.84,15-9-19-A
2332,47.08,285.12,1719.28,-1175.721,318.321,436324.533,6478198.789,1.78,15-9-19-A
2342,46.54,285.37,1726.12,-1182.755,320.238,436317.501,6478200.705,1.71,15-9-19-A
2352,45.33,286.16,1733.08,-1189.671,322.19,436310.588,6478202.656,4.01,15-9-19-A
2362,44.87,286.33,1740.13,-1196.471,324.171,436303.79,6478204.637,1.43,15-9-19-A
2372,44.31,286.54,1747.26,-1203.205,326.157,436297.059,6478206.623,1.74,15-9-19-A
2382,43.16,287.36,1754.48,-1209.817,328.172,436290.449,6478208.637,3.85,15-9-19-A
2392,42.84,287.3,1761.8,-1216.328,330.204,436283.94,6478210.668,0.97,15-9-19-A
2402,42.31,287.78,1769.16,-1222.779,332.243,436277.492,6478212.706,1.86,15-9-19-A
2412,41.73,288.52,1776.59,-1229.14,334.327,436271.133,6478214.79,2.29,15-9-19-A
2422,41.05,288.85,1784.09,-1235.403,336.446,436264.872,6478216.907,2.14,15-9-19-A
2432,40.33,289.48,1791.67,-1241.561,338.586,436258.716,6478219.046,2.49,15-9-19-A
2442,39.62,289.77,1799.34,-1247.613,340.743,436252.667,6478221.203,2.2,15-9-19-A
2452,39.3,290.12,1807.06,-1253.587,342.911,436246.695,6478223.37,1.17,15-9-19-A
2462,38.38,291.19,1814.85,-1259.455,345.123,436240.828,6478225.581,3.42,15-9-19-A
2472,37.44,291.58,1822.74,-1265.176,347.363,436235.109,6478227.821,2.91,15-9-19-A
2482,37.26,291.77,1830.68,-1270.814,349.604,436229.473,6478230.06,0.64,15-9-19-A
2492,36.26,292.88,1838.7,-1276.35,351.876,436223.939,6478232.332,3.6,15-9-19-A
2502,35.79,293.26,1846.78,-1281.761,354.181,436218.53,6478234.636,1.56,15-9-19-A
2512,35.84,293.56,1854.89,-1287.131,356.506,436213.162,6478236.96,0.55,15-9-19-A
2522,35.81,294.42,1863,-1292.479,358.885,436207.817,6478239.339,1.51,15-9-19-A
2532,35.42,295.45,1871.13,-1297.759,361.34,436202.538,6478241.793,2.15,15-9-19-A
2542,35.32,296.15,1879.29,-1302.971,363.859,436197.328,6478244.311,1.25,15-9-19-A
2552,34.44,297.06,1887.49,-1308.084,366.42,436192.217,6478246.871,3.07,15-9-19-A
2562,33.76,297.98,1895.77,-1313.056,369.01,436187.247,6478249.46,2.56,15-9-19-A
2572,33.2,298.71,1904.11,-1317.911,371.629,436182.393,6478252.078,2.07,15-9-19-A
2582,32.6,299.56,1912.51,-1322.655,374.273,436177.65,6478254.721,2.27,15-9-19-A
2592,31.79,300.39,1920.97,-1327.271,376.934,436173.037,6478257.382,2.77,15-9-19-A
2602,31.44,300.84,1929.48,-1331.782,379.604,436168.527,6478260.05,1.27,15-9-19-A
2612,30.44,301.62,1938.06,-1336.179,382.269,436164.132,6478262.714,3.23,15-9-19-A
2622,29.9,302.71,1946.71,-1340.433,384.944,436159.879,6478265.389,2.31,15-9-19-A
2632,29.62,304.01,1955.39,-1344.579,387.673,436155.735,6478268.117,2.11,15-9-19-A
2642,29.19,305.17,1964.1,-1348.621,390.46,436151.694,6478270.903,2.14,15-9-19-A
2652,29.08,306.26,1972.83,-1352.574,393.302,436147.743,6478273.744,1.63,15-9-19-A
2662,29.04,307.7,1981.58,-1356.454,396.224,436143.864,6478276.664,2.1,15-9-19-A
2672,28.67,309.43,1990.33,-1360.227,399.232,436140.092,6478279.671,2.74,15-9-19-A
2682,28.01,310.66,1999.14,-1363.861,402.285,436136.459,6478282.724,2.64,15-9-19-A
2692,27.66,312.14,2007.98,-1367.364,405.372,436132.958,6478285.81,2.32,15-9-19-A
2702,27.57,313.32,2016.84,-1370.768,408.518,436129.554,6478288.954,1.66,15-9-19-A
2712,27.01,314.72,2025.73,-1374.065,411.703,436126.258,6478292.138,2.56,15-9-19-A
2724,26.7,317,2036.43,-1377.84,415.592,436122.485,6478296.026,2.69,15-9-19-A
2752,26.1,319.9,2061.51,-1386.098,424.904,436114.23,6478305.335,1.52,15-9-19-A
2781,25.3,322.1,2087.65,-1394.014,434.674,436106.317,6478315.101,1.29,15-9-19-A
2810,25.5,328.3,2113.85,-1401.102,444.877,436099.231,6478325.3,2.76,15-9-19-A
2839,24.1,336.2,2140.18,-1406.773,455.609,436093.562,6478336.028,3.72,15-9-19-A
2867,23.4,341,2165.81,-1410.891,466.097,436089.446,6478346.513,2.2,15-9-19-A
2896,21.6,348.1,2192.61,-1413.867,476.768,436086.471,6478357.18,3.37,15-9-19-A
2924,20.9,354.2,2218.71,-1415.435,486.781,436084.904,6478367.19,2.48,15-9-19-A
2953,20.7,2.3,2245.82,-1415.752,497.051,436084.587,6478377.456,2.98,15-9-19-A
2982,21.4,11.7,2272.89,-1414.473,507.356,436085.865,6478387.758,3.56,15-9-19-A
3011,23.1,15,2299.73,-1411.927,518.033,436088.41,6478398.431,2.18,15-9-19-A
3040,23.9,16.8,2326.33,-1408.757,529.152,436091.579,6478409.546,1.11,15-9-19-A
3070,24.5,17.8,2353.69,-1405.099,540.893,436095.236,6478421.283,0.73,15-9-19-A
3100,24,17.6,2381.05,-1401.353,552.631,436098.981,6478433.017,0.51,15-9-19-A
3129,23.9,15.9,2407.55,-1397.96,563.903,436102.372,6478444.284,0.72,15-9-19-A
3158,23.6,17.1,2434.09,-1394.643,575.101,436105.688,6478455.479,0.59,15-9-19-A
3187,23.8,17.3,2460.65,-1391.197,586.236,436109.133,6478466.61,0.22,15-9-19-A
3216,24,15.7,2487.16,-1387.86,597.501,436112.468,6478477.87,0.7,15-9-19-A
3245,24.4,15.2,2513.61,-1384.694,608.959,436115.634,6478489.324,0.46,15-9-19-A
3274,24.6,15.3,2540,-1381.531,620.561,436118.796,6478500.923,0.21,15-9-19-A
3303,24.8,14.8,2566.35,-1378.384,632.264,436121.941,6478512.621,0.3,15-9-19-A
3331,24.7,15,2591.78,-1375.37,643.592,436124.954,6478523.946,0.14,15-9-19-A
3360,25,13.5,2618.09,-1372.371,655.404,436127.952,6478535.753,0.72,15-9-19-A
3389,24.8,13.3,2644.4,-1369.542,667.281,436130.781,6478547.626,0.22,15-9-19-A
